Name,links,Rating
Thuppakki,https://www.imdb.com//title/tt2187153/,7.5
Piku,https://www.imdb.com//title/tt3767372/,7.5
Devdas,https://www.imdb.com//title/tt0238936/,7.5
Delhi Belly,https://www.imdb.com//title/tt1934231/,7.5
Aankhen,https://www.imdb.com//title/tt0306434/,7.5
Raanjhanaa,https://www.imdb.com//title/tt2359810/,7.5
Detective Byomkesh Bakshy!,https://www.imdb.com//title/tt3447364/,7.5
Qayamat Se Qayamat Tak,https://www.imdb.com//title/tt0095936/,7.5
Trapped,https://www.imdb.com//title/tt6206564/,7.5
1 - Nenokkadine,https://www.imdb.com//title/tt2375559/,7.5
Rocket Singh: Salesman of the Year,https://www.imdb.com//title/tt1434447/,7.5
The Ghazi Attack,https://www.imdb.com//title/tt6299040/,7.5
Khakee,https://www.imdb.com//title/tt0347332/,7.5
Rehnaa Hai Terre Dil Mein,https://www.imdb.com//title/tt0299108/,7.5
Hungama,https://www.imdb.com//title/tt0371735/,7.5
Amar Akbar Anthony,https://www.imdb.com//title/tt0075669/,7.5
Hum Aapke Hain Koun...!,https://www.imdb.com//title/tt0110076/,7.5
Hum Dil De Chuke Sanam,https://www.imdb.com//title/tt0150992/,7.5
Rangeela,https://www.imdb.com//title/tt0114234/,7.5
Socha Na Tha,https://www.imdb.com//title/tt0451919/,7.5
Ghajini,https://www.imdb.com//title/tt0449951/,7.5
Jaane Tu... Ya Jaane Na,https://www.imdb.com//title/tt0473367/,7.5
Madaari,https://www.imdb.com//title/tt5713232/,7.5
Ghilli,https://www.imdb.com//title/tt0422320/,7.5
Dum Laga Ke Haisha,https://www.imdb.com//title/tt3495030/,7.5
Jolly LLB,https://www.imdb.com//title/tt2621000/,7.5
October,https://www.imdb.com//title/tt7700730/,7.4
Kesari,https://www.imdb.com//title/tt6264938/,7.4
Shaadi Mein Zaroor Aana,https://www.imdb.com//title/tt7469726/,7.4
Chillar Party,https://www.imdb.com//title/tt1841542/,7.4
Geetha Govindam,https://www.imdb.com//title/tt8590896/,7.4
Bareilly Ki Barfi,https://www.imdb.com//title/tt6967980/,7.4
Sivaji,https://www.imdb.com//title/tt0479751/,7.4
